pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_correcta
¿En qué ciudad nació Lionel Messi?,Rosario,Buenos Aires,Córdoba,1
¿Cuál es la capital de Argentina?,Buenos Aires,Córdoba,Rosario,1
¿En qué año ganó Argentina su primer mundial de fútbol?,1978,1986,2002,1
¿Quién es conocido como el 'Padre de la Patria' en Argentina?,Juan Manuel de Rosas,José de San Martín,Manuel Belgrano,2
¿Cuál es el pico más alto de Argentina?,Cerro Aconcagua,Cerro Tronador,Cerro Fitz Roy,1
¿Qué río separa a Argentina de Uruguay?,Río Paraná,Río Colorado,Río de la Plata,3
¿Quién compuso la canción 'Gracias a la Vida'?,Mercedes Sosa,Charly García,Violeta Parra,3
¿En qué año fue elegido presidente Néstor Kirchner?,2000,2003,2007,2
¿En qué provincia se encuentra la ciudad de Ushuaia?,Santa Cruz,Chubut,Tierra del Fuego,3
¿Qué moneda se utiliza en Argentina?,Dólar,Peso,Real,2
¿Qué famoso cantante argentino popularizó el tango?,Astor Piazzolla,Carlos Gardel,Sandro,2
¿Cuál es la danza tradicional de Argentina?,Salsa,Cumbia,Tango,3
¿Cuál es el nombre del famoso glaciar en la Patagonia?,Perito Moreno,Martial,Upsala,1
¿Quién es el autor de 'Martín Fierro'?,Jorge Luis Borges,José Hernández,Julio Cortázar,2
¿Cuál es la montaña más alta de América del Sur?,Cerro Bonete,Monte Pissis,Aconcagua,3
¿Qué bebida es famosa en Argentina?,Tequila,Mate,Pisco,2
¿Cuál es el nombre del teatro más famoso de Buenos Aires?,Teatro Colón,Teatro Gran Rex,Teatro Nacional,1
¿Cuál es la Avenida más ancha del mundo ubicada en Buenos Aires?,Avenida de Mayo,Avenida Corrientes,Avenida 9 de Julio,3
¿Qué prócer argentino creó la bandera?,Domingo Sarmiento,José de San Martín,Manuel Belgrano,3
¿Qué actriz argentina fue esposa de Juan Domingo Perón?,Tita Merello,Eva Perón,Libertad Lamarque,2
¿En qué año fue la Guerra de las Malvinas?,1980,1982,1984,2
¿Cuál es el nombre del equipo de fútbol conocido como 'La Academia'?,Boca Juniors,Racing Club,River Plate,2
¿En qué provincia se encuentra la ciudad de Mendoza?,Santa Fe,San Juan,Mendoza,3
¿Cuál es el ave nacional de Argentina?,Cóndor,Ñandú,Hornero,3
¿Qué escritora argentina ganó el Premio Cervantes en 2018?,Silvina Ocampo,María Elena Walsh,María Teresa Andruetto,3
¿Qué ciudad argentina es conocida por sus cataratas?,Misiones,Puerto Iguazú,Cataratas de Córdoba,2
